date,value
1/2/2019,430.744
1/3/2019,156.2344
1/4/2019,87.4368
1/10/2019,46.7636
1/17/2019,147.4208
1/22/2019,0
1/24/2019,386.7772
1/28/2019,72.5696
1/31/2019,337.1432
2/1/2019,147.4208
2/4/2019,92
2/5/2019,81.7972
2/7/2019,57.2516
2/8/2019,1255.4688
2/14/2019,147.4208
2/20/2019,0
2/21/2019,437.0552
2/25/2019,0
2/26/2019,293.2868
2/28/2019,147.4944
3/7/2019,374.7436
3/11/2019,89.0284
3/12/2019,0
3/14/2019,388.01
3/19/2019,36.8
3/21/2019,31.5008
3/22/2019,0
3/27/2019,152.352
3/28/2019,386.63
4/1/2019,142.8944
4/3/2019,0
4/10/2019,0
4/11/2019,390.356
4/16/2019,0
4/25/2019,147.4208
5/9/2019,243.7632
5/15/2019,171.488
5/23/2019,147.4944
6/3/2019,46.0552
6/6/2019,147.4208
6/7/2019,25.3184
6/13/2019,0
6/17/2019,147.4944
6/20/2019,310.04
6/24/2019,0
6/25/2019,161.276
6/26/2019,36.0272
6/27/2019,155.296
7/1/2019,147.4944
7/8/2019,-147.4944
7/9/2019,147.4944
7/10/2019,0
7/11/2019,36.432
7/12/2019,0
7/18/2019,218.1136
7/23/2019,0
7/24/2019,169.234
7/26/2019,8.2708
7/29/2019,1260.6944
7/30/2019,89.8656
8/1/2019,200.56
8/5/2019,5.2716
8/12/2019,0
8/14/2019,0
8/15/2019,706.2288
8/19/2019,586.7392
8/20/2019,14.72
8/29/2019,9.6416
9/2/2019,610.9352
9/3/2019,32.9728
9/5/2019,78.66
9/10/2019,55.6784
9/12/2019,148.3316
9/19/2019,26.3672
9/24/2019,0
9/25/2019,0
9/26/2019,32.8072
9/27/2019,61.824
10/1/2019,155.664
10/2/2019,71.99
10/4/2019,43.0928
10/8/2019,50.416
10/9/2019,0
10/10/2019,32.3104
10/14/2019,315.376
10/17/2019,217.5432
10/22/2019,251.3624
10/24/2019,343.8592
10/29/2019,277.5824
11/4/2019,17.6272
11/7/2019,161.2944
11/11/2019,74.888
11/13/2019,0
11/14/2019,184.1104
11/18/2019,44.4728
11/20/2019,0
11/22/2019,327.8788
11/26/2019,36.8
11/27/2019,113.0588
11/28/2019,233.0912
11/29/2019,0
12/6/2019,191.0012
12/12/2019,102.1936
12/16/2019,0
12/23/2019,104.8892
1/3/2020,220.2296
1/6/2020,0
1/7/2020,122.2312
1/9/2020,-2.1988
1/10/2020,479.3292
1/13/2020,0
1/17/2020,46.2944
1/24/2020,393.5208
1/29/2020,280.3332
1/30/2020,120.7132
1/31/2020,35.0336
2/5/2020,8.2432
2/7/2020,230.4324
2/10/2020,15.7504
2/11/2020,0
2/14/2020,79.35
2/21/2020,223.7992
2/28/2020,127.9536
3/2/2020,0
3/5/2020,20.1664
3/6/2020,161.9016
3/13/2020,179.9888
3/17/2020,45.6596
3/18/2020,384.5324
3/20/2020,108.3576
3/26/2020,107.502
4/8/2020,25.1896
4/9/2020,39.008
4/14/2020,0
4/17/2020,116.3984
4/23/2020,148.4328
4/28/2020,100.2892
4/29/2020,0
5/6/2020,63.9676
5/8/2020,35.0336
5/15/2020,365.516
5/18/2020,0
5/20/2020,183.172
5/22/2020,0
5/27/2020,298.4112
6/4/2020,8.3168
6/5/2020,39.7808
6/9/2020,34.408
6/10/2020,67.6752
6/12/2020,1215.9364
6/19/2020,215.6572
6/25/2020,1221.6864
7/3/2020,199.18
7/10/2020,248.8508
7/16/2020,30.268
7/17/2020,216.8992
7/24/2020,419.9984
7/31/2020,189.9984
8/7/2020,152.628
8/13/2020,0
8/14/2020,277.4904
8/19/2020,0
8/21/2020,147.4024
8/28/2020,203.2004
9/4/2020,180.918
9/11/2020,2283.854
9/18/2020,227.424
9/23/2020,79.7548
9/25/2020,271.1056
9/28/2020,0
10/2/2020,240.764
10/5/2020,0
10/8/2020,0
10/9/2020,266.34
10/16/2020,212.5384
10/23/2020,422.3996
10/26/2020,378.534
10/29/2020,73.416
10/30/2020,276.8188
11/5/2020,139.0304
11/6/2020,280.5908
11/9/2020,146.832
11/13/2020,231.7204
11/16/2020,4.7104
11/17/2020,72.1464
11/20/2020,544.364
11/23/2020,4.7104
11/27/2020,97.842
11/30/2020,41.216
12/4/2020,561.3564
12/11/2020,432.5288
12/14/2020,0
12/18/2020,240.672
12/21/2020,447.12
12/28/2020,70.0672
12/29/2020,190.4676
12/30/2020,200.5968
1/8/2021,223.5784
1/15/2021,248.9336
